Nome,Categoria,Descrizione,Latitudine,Longitudine,URL_Pagina
Cala Pi,Spiaggia 🏖️,Vedi pagina web dedicata,39.3638,2.8368,https://<username>.github.io/<repo>/cala_pi.html
Es Trenc,Spiaggia 🏖️,Vedi pagina web dedicata,39.3400,2.9856,https://<username>.github.io/<repo>/es_trenc.html
Calò Des Moro,Spiaggia 🏖️,Vedi pagina web dedicata,39.3136,3.1197,https://<username>.github.io/<repo>/calo_des_moro.html
Port de Cala Figuera,Porto/Borgo ⛵,Vedi pagina web dedicata,39.3315,3.1672,https://<username>.github.io/<repo>/port_de_cala_figuera.html
Mercado de Santanyí,Mercato 🛍️,Vedi pagina web dedicata,39.3541,3.1293,https://<username>.github.io/<repo>/mercado_de_santanyi.html
S'Amarador,Spiaggia 🏖️,Vedi pagina web dedicata,39.3486,3.1872,https://<username>.github.io/<repo>/samarador.html
Cala Mondragò,Spiaggia 🏖️,Vedi pagina web dedicata,39.3524,3.1877,https://<username>.github.io/<repo>/cala_mondrago.html
Cala Esmeralda,Spiaggia 🏖️,Vedi pagina web dedicata,39.3789,3.2384,https://<username>.github.io/<repo>/cala_esmeralda.html
Portocolom,Porto/Borgo ⛵,Vedi pagina web dedicata,39.4188,3.2644,https://<username>.github.io/<repo>/portocolom.html
Cuevas del Hams,Attrazione 🏛️,Vedi pagina web dedicata,39.5447,3.3211,https://<username>.github.io/<repo>/cuevas_del_hams.html
Playa de Muro,Spiaggia 🏖️,Vedi pagina web dedicata,39.8055,3.1189,https://<username>.github.io/<repo>/playa_de_muro.html
Sòller,Borgo Storico 🚂,Vedi pagina web dedicata,39.7675,2.7153,https://<username>.github.io/<repo>/soller.html
Valldemossa,Borgo Storico 🏘️,Vedi pagina web dedicata,39.7118,2.6225,https://<username>.github.io/<repo>/valldemossa.html
Katmandu Park,Parco Divertimenti 🎢,Vedi pagina web dedicata,39.5085,2.5323,https://<username>.github.io/<repo>/katmandu_park.html
Camp de Mar,Spiaggia 🏖️,Vedi pagina web dedicata,39.5385,2.4223,https://<username>.github.io/<repo>/camp_de_mar.html
Palma de Mallorca,Città 🌆,Vedi pagina web dedicata,39.5696,2.6502,https://<username>.github.io/<repo>/palma_de_mallorca.html
Formentor,Punto Panoramico 🌄,Vedi pagina web dedicata,39.9288,3.2140,https://<username>.github.io/<repo>/formentor.html
Pollença,Borgo Storico 🏘️,Vedi pagina web dedicata,39.8778,3.0163,https://<username>.github.io/<repo>/pollenca.html
Alcudia,Borgo Storico 🏘️,Vedi pagina web dedicata,39.8524,3.1190,https://<username>.github.io/<repo>/alcudia.html
Cala Romàntica,Spiaggia 🏖️,Vedi pagina web dedicata,39.5292,3.3150,https://<username>.github.io/<repo>/cala_romantica.html
Cala Varques,Spiaggia 🏖️,Vedi pagina web dedicata,39.4975,3.2989,https://<username>.github.io/<repo>/cala_varques.html
Cala Llombards,Spiaggia 🏖️,Vedi pagina web dedicata,39.3245,3.1415,https://<username>.github.io/<repo>/cala_llombards.html
Cala d'Or,Spiaggia 🏖️,Vedi pagina web dedicata,39.3732,3.2285,https://<username>.github.io/<repo>/cala_dor.html
Sa Calobra,Spiaggia/Natura 🏖️,Vedi pagina web dedicata,39.8510,2.7986,https://<username>.github.io/<repo>/sa_calobra.html
Grotte del Drago,Attrazione 🏛️,Vedi pagina web dedicata,39.5361,3.3283,https://<username>.github.io/<repo>/grotte_del_drago.html
Cala Son Gotleu,Spiaggia 🏖️,Vedi pagina web dedicata (si arriva passando per Santanyí),39.3541,3.1293,https://<username>.github.io/<repo>/cala_son_gotleu.html
Cala Major,Spiaggia 🏖️,Vedi pagina web dedicata. Voto: 7.5/10,39.5524,2.6053,https://<username>.github.io/<repo>/cala_major.html
Cala Santanyí,Spiaggia 🏖️,Vedi pagina web dedicata. Voto: 10/10,39.3299,3.1444,https://<username>.github.io/<repo>/cala_santanyi.html
Cala Llamp,Spiaggia 🏖️,Vedi pagina web dedicata. Voto: 8/10,39.5350,2.3855,https://<username>.github.io/<repo>/cala_llamp.html
Cala en Brut,Spiaggia/Tuffi 🏖️,Vedi pagina web dedicata (Attenzione: si trova a Minorca!),39.9997,3.8058,https://<username>.github.io/<repo>/cala_en_brut.html
Deià,Borgo 🏘️,Vedi pagina web dedicata,39.7479,2.6468,https://<username>.github.io/<repo>/deia.html
Fornalutx,Borgo Storico 🏘️,Vedi pagina web dedicata,39.7828,2.7423,https://<username>.github.io/<repo>/fornalutx.html
